n,W,b,Tiempo,Metodo,nodos
25,50,330,0.018144,Backtracking_podas,53
29,50,452,0.019797,Backtracking_podas,56
23,50,387,0.015361,Backtracking_podas,23
6,50,169,0.008573,Backtracking_podas,12
5,50,118,0.008241,Backtracking_podas,7
26,50,400,0.023929,Backtracking_podas,51
18,50,364,0.028902,Backtracking_podas,21
10,50,184,0.014214,Backtracking_podas,7
19,50,374,0.018267,Backtracking_podas,24
28,50,375,0.021394,Backtracking_podas,20
8,50,187,0.010167,Backtracking_podas,9
17,50,251,0.013098,Backtracking_podas,12
12,50,289,0.012579,Backtracking_podas,23
11,50,281,0.010398,Backtracking_podas,8
24,50,237,0.02634,Backtracking_podas,125
21,50,240,0.048773,Backtracking_podas,19
13,50,249,0.018657,Backtracking_podas,29
15,50,131,0.019696,Backtracking_podas,34
27,50,381,0.016302,Backtracking_podas,26
20,50,271,0.013756,Backtracking_podas,46
22,50,345,0.014258,Backtracking_podas,12
16,50,341,0.010748,Backtracking_podas,15
7,50,171,0.012905,Backtracking_podas,7
14,50,154,0.013829,Backtracking_podas,31
9,50,317,0.016747,Backtracking_podas,21
25,50,330,0.017426,Backtracking_podas,53
29,50,452,0.018065,Backtracking_podas,56
23,50,387,0.017392,Backtracking_podas,23
6,50,169,0.021792,Backtracking_podas,12
5,50,118,0.033487,Backtracking_podas,7
26,50,400,0.031857,Backtracking_podas,51
18,50,364,0.046275,Backtracking_podas,21
10,50,184,0.017501,Backtracking_podas,7
19,50,374,0.020326,Backtracking_podas,24
28,50,375,0.035357,Backtracking_podas,20
8,50,187,0.00801,Backtracking_podas,9
17,50,251,0.012129,Backtracking_podas,12
12,50,289,0.013686,Backtracking_podas,23
11,50,281,0.009629,Backtracking_podas,8
24,50,237,0.023815,Backtracking_podas,125
21,50,240,0.017227,Backtracking_podas,19
13,50,249,0.022297,Backtracking_podas,29
15,50,131,0.052299,Backtracking_podas,34
27,50,381,0.044748,Backtracking_podas,26
20,50,271,0.041173,Backtracking_podas,46
22,50,345,0.04585,Backtracking_podas,12
16,50,341,0.010909,Backtracking_podas,15
7,50,171,0.007109,Backtracking_podas,7
14,50,154,0.009966,Backtracking_podas,31
165,50,852,0.104237,Backtracking_podas,166
45,50,518,0.040098,Backtracking_podas,41
195,50,963,0.120162,Backtracking_podas,242
20,50,306,0.020458,Backtracking_podas,33
25,50,406,0.016872,Backtracking_podas,11
45,50,625,0.047906,Backtracking_podas,19
120,50,1074,0.099354,Backtracking_podas,14
5,50,151,0.009788,Backtracking_podas,4
35,50,307,0.039489,Backtracking_podas,67
140,50,1293,0.131751,Backtracking_podas,20
185,50,1055,0.241058,Backtracking_podas,14
55,50,362,0.033953,Backtracking_podas,148
100,50,669,0.057882,Backtracking_podas,20
145,50,1277,0.090947,Backtracking_podas,145
40,50,666,0.057893,Backtracking_podas,45
10,50,274,0.009989,Backtracking_podas,17
10,100,253,0.011694,Backtracking_podas,14
70,50,755,0.052795,Backtracking_podas,79
130,50,652,0.111318,Backtracking_podas,58
125,50,888,0.137881,Backtracking_podas,107
85,50,908,0.112333,Backtracking_podas,14
5,20,92,0.015288,Backtracking_podas,5
30,50,457,0.040655,Backtracking_podas,84
135,50,811,0.082582,Backtracking_podas,155
105,50,793,0.060496,Backtracking_podas,25
155,50,1023,0.103147,Backtracking_podas,14
80,50,793,0.053224,Backtracking_podas,13
95,50,562,0.062671,Backtracking_podas,83
190,50,1135,0.173037,Backtracking_podas,159
170,50,1165,0.220445,Backtracking_podas,18
160,50,884,0.142963,Backtracking_podas,140
60,50,626,0.091567,Backtracking_podas,68
180,50,1075,0.150413,Backtracking_podas,23
15,50,309,0.010787,Backtracking_podas,17
110,50,897,0.062633,Backtracking_podas,85
175,50,1097,0.108141,Backtracking_podas,301
115,50,853,0.085422,Backtracking_podas,291
20,50,321,0.014236,Backtracking_podas,45
50,50,632,0.044441,Backtracking_podas,41
150,50,890,0.111126,Backtracking_podas,240
65,50,605,0.048529,Backtracking_podas,73
75,50,700,0.090038,Backtracking_podas,206
90,50,761,0.101962,Backtracking_podas,11
